Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Milk Chocolate (sourced from Cote d'Ivoire),1.9997465369,kg CO2 eq,0,0,,-,Global,Milk Chocolate (sourced from Cote d'Ivoire)
"Milk powder, skimmed, spray dried, at dairy (WFLDB 3.1)",0.7876136277,kg CO2 eq,1,1,0,-,Global,Milk powder
"Liquid milk, whole milk, pasteurised, at dairy (WFLDB 3.1)",0.762613328,kg CO2 eq,2,2,1,-,Global,Liquid milk
"Raw milk, production mix, at farm",0.7189433106,kg CO2 eq,3,3,2,-,Global,Raw milk
"raw milk, production mix, at farm/kg/U",0.2679959004,kg CO2 eq,4,4,3,-,United States,raw milk
"Raw milk, large scale production, non-grazing, mechanized, at farm",0.0915006069,kg CO2 eq,5,5,4,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0490441389,kg CO2 eq,6,6,5,-,Global,Concentrate feed
"Soybean, at farm",0.0358971052,kg CO2 eq,7,7,6,-,Global,Soybean
"soybeans, at farm | Soybean, at farm (WFLDB 3.1)",0.0153873303,kg CO2 eq,8,8,7,-,Brazil,soybeans
"Land use change, annual crop (WFLDB 3.1)",0.0126801418,kg CO2 eq,9,9,8,-,Brazil,Land use change
"clear-cutting, primary forest to arable land",0.0117525718,kg CO2 eq,10,10,9,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0112700996,kg CO2 eq,11,8,7,-,United States,soybeans
"Soybean, at farm (WFLDB 3.1)",0.0092396754,kg CO2 eq,12,8,7,-,Argentina,Soybean
"Land use change, annual crop (WFLDB 3.1)",0.0088366567,kg CO2 eq,13,9,12,-,Argentina,Land use change
"clear-cutting, secondary forest to arable land",0.0081076789,kg CO2 eq,14,10,13,-,Argentina,clear-cutting
"Rapeseed, at farm (WFLDB 3.1)",0.0044587997,kg CO2 eq,15,7,6,-,Global,Rapeseed
"Rapeseed, at farm (WFLDB 3.1)",0.0031093488,kg CO2 eq,16,8,15,-,Canada,Rapeseed
maize starch production,0.0041137811,kg CO2 eq,17,7,6,-,Germany,maize starch production
