Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Milk chocolate (180g), average consumption mix",2.9660735345,kg CO2 eq,0,0,,-,Global,Milk chocolate
"Cocoa liquor, at plant (WFLDB 3.1)",1.3074032011,kg CO2 eq,1,1,0,-,Europe,Cocoa liquor
"Cocoa beans, at farm",1.2804516048,kg CO2 eq,2,2,1,-,Global,Cocoa beans
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.7448526828,kg CO2 eq,3,3,2,-,Indonesia,Cocoa beans (ID)
"Land use change, perennial crop (WFLDB 3.1)",0.7024006247,kg CO2 eq,4,4,3,-,Indonesia,Land use change
"clear-cutting, primary forest to arable land",0.3726406148,kg CO2 eq,5,5,4,-,Indonesia,clear-cutting
"clear-cutting, secondary forest to arable land",0.2549616991,kg CO2 eq,6,5,4,-,Indonesia,clear-cutting
urea ammonium nitrate production,0.0043577746,kg CO2 eq,7,4,3,-,Europe,urea ammonium nitrate production
Rooting up trees (WFLDB 3.1),0.0039563648,kg CO2 eq,8,4,3,-,Global,Rooting up trees (WFLDB 3.1)
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.3278830578,kg CO2 eq,9,3,2,-,Cote d'Ivoire,Cocoa beans (CI)
"Land use change, perennial crop (WFLDB 3.1)",0.2834004831,kg CO2 eq,10,4,9,-,Cote d'Ivoire,Land use change
"clear-cutting, secondary forest to arable land",0.2480896387,kg CO2 eq,11,5,10,-,Cote d'Ivoire,clear-cutting
"clear-cutting, primary forest to arable land",0.0248684347,kg CO2 eq,12,5,10,-,Cote d'Ivoire,clear-cutting
"land already in use, perennial cropland",0.0104589215,kg CO2 eq,13,5,10,-,Cote d'Ivoire,land already in use
"Irrigating, surface, diesel powered",0.0108118779,kg CO2 eq,14,4,9,-,Global,Irrigating
"diesel, burned water pump/MJ",0.0067410908,kg CO2 eq,15,5,14,-,Global,diesel
Rooting up trees (WFLDB 3.1),0.0058203015,kg CO2 eq,16,4,9,-,Global,Rooting up trees (WFLDB 3.1)
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",0.2077158642,kg CO2 eq,17,3,2,-,Ghana,Cocoa beans (GH)
"Land use change, perennial crop (WFLDB 3.1)",0.1894480563,kg CO2 eq,18,4,17,-,Ghana,Land use change
