Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Milk Chocolate (180g), sourced from Ghana",2.7154653134,kg CO2 eq,0,0,,root,Global,Milk Chocolate
"Cocoa liquor, sourced from Ghana",1.1371379363,kg CO2 eq,1,1,0,processing,Europe,Cocoa liquor
"Cocoa beans, sun-dried, at farm/kg",1.11018634,kg CO2 eq,2,2,1,farm,Ghana,Cocoa beans
"Land use change, perennial crop",1.0125497399,kg CO2 eq,3,3,2,farm,Ghana,Land use change
"clear-cutting, secondary forest to arable land",0.837339206,kg CO2 eq,4,4,3,farm,Ghana,clear-cutting
"diesel, burned in building machine",0.0040179401,kg CO2 eq,5,5,4,farm,Global,diesel
"clear-cutting, primary forest to arable land",0.1042336463,kg CO2 eq,6,4,3,farm,Ghana,clear-cutting
"clear-cutting, grassland to arable land",0.0698133334,kg CO2 eq,7,4,3,farm,Ghana,clear-cutting
"Irrigating, surface, diesel powered",0.0381987085,kg CO2 eq,8,3,2,farm,Global,Irrigating
"diesel, burned water pump/MJ",0.0238164882,kg CO2 eq,9,4,8,farm,Global,diesel
diesel,0.0033616823,kg CO2 eq,10,5,9,farm,Europe,diesel
"agricultural machinery production, unspecified",0.0087203416,kg CO2 eq,11,4,8,farm,Switzerland,agricultural machinery production
Rooting up trees,0.0148740819,kg CO2 eq,12,3,2,farm,Global,Rooting up trees
"Diesel, burned in agricultural machinery",0.0075010638,kg CO2 eq,13,4,12,farm,Global,Diesel
agricultural trailer production,0.0029275875,kg CO2 eq,14,5,13,farm,Switzerland,agricultural trailer production
"transport, tractor and trailer, agricultural",0.0060790523,kg CO2 eq,15,4,12,farm,Switzerland,transport
"Irrigating, sprinkler, diesel powered",0.0055969312,kg CO2 eq,16,3,2,farm,Global,Irrigating
"diesel, burned water pump/MJ",0.0031124,kg CO2 eq,17,4,16,farm,Global,diesel
"acetamide-anillide-compound production, unspecified",0.0043264737,kg CO2 eq,18,3,2,farm,Europe,acetamide-anillide-compound production
"diammonium phosphate production | Phosphate fertiliser, as P2O5",0.0033893383,kg CO2 eq,19,3,2,farm,Europe,diammonium phosphate production | Phosphate fertiliser
"Cocoa beans processing, at plant",0.0269515963,kg CO2 eq,20,2,1,processing,Europe,Cocoa beans processing
"diesel, burned in building machine",0.0119430353,kg CO2 eq,21,3,20,processing,Global,diesel
"transport, freight, lorry 7.5-16 metric ton, EURO3",0.0052070069,kg CO2 eq,22,3,20,processing,Europe,transport
"transport, freight, lorry 16-32 metric ton, EURO4",0.0039900256,kg CO2 eq,23,3,20,processing,Europe,transport
"transport, freight, sea, transoceanic ship",0.0038639659,kg CO2 eq,24,3,20,processing,Global,transport
"Milk powder, skimmed, spray dried, at dairy",0.7876136277,kg CO2 eq,25,1,0,processing,Global,Milk powder
"Liquid milk, whole milk, pasteurised, at dairy",0.762613328,kg CO2 eq,26,2,25,processing,Global,Liquid milk
"Raw milk, production mix, at farm",0.7189433106,kg CO2 eq,27,3,26,farm,Global,Raw milk
"raw milk, production mix, at farm/kg/U",0.2679959004,kg CO2 eq,28,4,27,farm,United States,raw milk
"Raw milk, large scale production, non-grazing, mechanized, at farm",0.0915006069,kg CO2 eq,29,5,28,farm,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm",0.0490441389,kg CO2 eq,30,6,29,farm,Global,Concentrate feed
