Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Milk Chocolate (180g), sourced from Indonesia",4.89631559,kg CO2 eq,0,0,,-,Global,Milk Chocolate
"Cocoa liquor, sourced from Indonesia",2.6188253622,kg CO2 eq,1,1,0,-,Europe,Cocoa liquor
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",2.5918737659,kg CO2 eq,2,2,1,-,Indonesia,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",2.4441527756,kg CO2 eq,3,3,2,-,Indonesia,Land use change
"clear-cutting, primary forest to arable land",1.2966824928,kg CO2 eq,4,4,3,-,Indonesia,clear-cutting
"diesel, burned in building machine",0.0061036148,kg CO2 eq,5,5,4,-,Global,diesel
"clear-cutting, secondary forest to arable land",0.8871936082,kg CO2 eq,6,4,3,-,Indonesia,clear-cutting
"clear-cutting, grassland to arable land",0.0083428702,kg CO2 eq,7,4,3,-,Indonesia,clear-cutting
urea ammonium nitrate production,0.0151638061,kg CO2 eq,8,3,2,-,Europe,urea ammonium nitrate production
Rooting up trees (WFLDB 3.1),0.0137670149,kg CO2 eq,9,3,2,-,Global,Rooting up trees (WFLDB 3.1)
"Diesel, burned in agricultural machinery (WFLDB 3.1)",0.0069427652,kg CO2 eq,10,4,9,-,Global,Diesel
"transport, tractor and trailer, agricultural",0.0056265929,kg CO2 eq,11,4,9,-,Switzerland,transport
"urea production, as N",0.0085066418,kg CO2 eq,12,3,2,-,Europe,urea production
"Cocoa beans processing, at plant (WFLDB 3.1)",0.0269515963,kg CO2 eq,13,2,1,-,Europe,Cocoa beans processing
"diesel, burned in building machine",0.0119430353,kg CO2 eq,14,3,13,-,Global,diesel
"transport, freight, lorry 7.5-16 metric ton, EURO3",0.0052070069,kg CO2 eq,15,3,13,-,Europe,transport
"Cocoa liquor, sourced from Indonesia",1.2357433651,kg CO2 eq,16,1,0,-,Europe,Cocoa liquor
"Cocoa beans, sun-dried, at farm (WFLDB 3.1)/kg",1.2230257334,kg CO2 eq,17,2,16,-,Indonesia,Cocoa beans
"Land use change, perennial crop (WFLDB 3.1)",1.153320729,kg CO2 eq,18,3,17,-,Indonesia,Land use change
"clear-cutting, primary forest to arable land",0.6118646971,kg CO2 eq,19,4,18,-,Indonesia,clear-cutting
"clear-cutting, secondary forest to arable land",0.4186394522,kg CO2 eq,20,4,18,-,Indonesia,clear-cutting
urea ammonium nitrate production,0.007155335,kg CO2 eq,21,3,17,-,Europe,urea ammonium nitrate production
Rooting up trees (WFLDB 3.1),0.0064962321,kg CO2 eq,22,3,17,-,Global,Rooting up trees (WFLDB 3.1)
"Cocoa beans processing, at plant (WFLDB 3.1)",0.0127176317,kg CO2 eq,23,2,16,-,Europe,Cocoa beans processing
"diesel, burned in building machine",0.0056355521,kg CO2 eq,24,3,23,-,Global,diesel
"Milk powder, skimmed, spray dried, at dairy (WFLDB 3.1)",0.7876136277,kg CO2 eq,25,1,0,-,Global,Milk powder
"Liquid milk, whole milk, pasteurised, at dairy (WFLDB 3.1)",0.762613328,kg CO2 eq,26,2,25,-,Global,Liquid milk
"Raw milk, production mix, at farm",0.7189433106,kg CO2 eq,27,3,26,-,Global,Raw milk
"raw milk, production mix, at farm/kg/U",0.2679959004,kg CO2 eq,28,4,27,-,United States,raw milk
"Raw milk, large scale production, non-grazing, mechanized, at farm",0.0915006069,kg CO2 eq,29,5,28,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0490441389,kg CO2 eq,30,6,29,-,Global,Concentrate feed
"Soybean, at farm",0.0358971052,kg CO2 eq,31,7,30,-,Global,Soybean
"soybeans, at farm | Soybean, at farm (WFLDB 3.1)",0.0153873303,kg CO2 eq,32,8,31,-,Brazil,soybeans
"Land use change, annual crop (WFLDB 3.1)",0.0126801418,kg CO2 eq,33,9,32,-,Brazil,Land use change
"clear-cutting, primary forest to arable land",0.0117525718,kg CO2 eq,34,10,33,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0112700996,kg CO2 eq,35,8,31,-,United States,soybeans
"Soybean, at farm (WFLDB 3.1)",0.0092396754,kg CO2 eq,36,8,31,-,Argentina,Soybean
"Land use change, annual crop (WFLDB 3.1)",0.0088366567,kg CO2 eq,37,9,36,-,Argentina,Land use change
"clear-cutting, secondary forest to arable land",0.0081076789,kg CO2 eq,38,10,37,-,Argentina,clear-cutting
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0269471526,kg CO2 eq,39,6,29,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0098240407,kg CO2 eq,40,6,29,-,Global,Raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0679949009,kg CO2 eq,41,5,28,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0293891391,kg CO2 eq,42,6,41,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0204547118,kg CO2 eq,43,6,41,-,Global,Concentrate feed
"Soybean, at farm",0.0149715126,kg CO2 eq,44,7,43,-,Global,Soybean
"soybeans, at farm | Soybean, at farm (WFLDB 3.1)",0.0064175539,kg CO2 eq,45,8,44,-,Brazil,soybeans
"Land use change, annual crop (WFLDB 3.1)",0.0052884739,kg CO2 eq,46,9,45,-,Brazil,Land use change
"clear-cutting, primary forest to arable land",0.0049016146,kg CO2 eq,47,10,46,-,Brazil,clear-cutting
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0115205425,kg CO2 eq,48,6,41,-,Global,Raw milk
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0387878114,kg CO2 eq,49,5,28,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0172278382,kg CO2 eq,50,6,49,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0109513874,kg CO2 eq,51,6,49,-,Global,Concentrate feed
"Soybean, at farm",0.0080157,kg CO2 eq,52,7,51,-,Global,Soybean
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.006213636,kg CO2 eq,53,6,49,-,Global,Raw milk
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0238237194,kg CO2 eq,54,5,28,-,Global,Manure management at farm
