Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Bolognese (300g),2.36583,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Bolognese
"Ground beef, fresh, for processing",2.09865,kg CO2 eq,1,1,0,raw materials/ingredients,France,Ground beef
"Fresh ground beef production; industrial production; French production mix, at plant | Fresh ground beef production; industrial production; French production mix, at plant; 1 kg of fresh ground beef, for processing (PDi)",2.09865,kg CO2 eq,2,2,1,raw materials/ingredients,France,Fresh ground beef production; industrial production; French production mix
"Slaughtering and chilling; of beef, industrial production; French production mix; 1 kg of beef quarter, for processing",2.09106,kg CO2 eq,3,3,2,raw materials/ingredients,France,Slaughtering and chilling; of beef
"Slaughtering and chilling; of beef, industrial production; French production mix, at plant;1 kg of beef carcass, for processing",2.09106,kg CO2 eq,4,4,3,raw materials/ingredients,France,Slaughtering and chilling; of beef
"Beef cattle, national average, at farm gate/kg",2.08624,kg CO2 eq,5,5,4,raw materials/ingredients,France,Beef cattle
"Suckler cull cow, conventional, suckler cow system, less than 1.2 LU per ha, at",0.37243,kg CO2 eq,6,6,5,raw materials/ingredients,France,Suckler cull cow
"Calf of 0 day, conventional, suckler cow system, less than 1.2 LU per ha (animal",0.13281,kg CO2 eq,7,7,6,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.01379,kg CO2 eq,8,8,7,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00719,kg CO2 eq,9,8,7,raw materials/ingredients,France,Baled hay
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.01621,kg CO2 eq,10,7,6,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.01609,kg CO2 eq,11,7,6,raw materials/ingredients,France,Baled hay
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00315,kg CO2 eq,12,7,6,raw materials/ingredients,France,Soft wheat grain
Soft wheat grain stored and transported,0.00246,kg CO2 eq,13,7,6,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00238,kg CO2 eq,14,8,13,raw materials/ingredients,France,Soft wheat grain
"Young suckler bull, conventional, fattening system, less than 1.2 LU per ha, at",0.34436,kg CO2 eq,15,6,5,raw materials/ingredients,France,Young suckler bull
"Conventional suckler cow system, less than 1.2 LU per ha, animal class 1, at far",0.26691,kg CO2 eq,16,7,15,raw materials/ingredients,France,Conventional suckler cow system
"Calf of 0 day, conventional, suckler cow system, less than 1.2 LU per ha (animal",0.18063,kg CO2 eq,17,8,16,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.01876,kg CO2 eq,18,9,17,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00978,kg CO2 eq,19,9,17,raw materials/ingredients,France,Baled hay
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00808,kg CO2 eq,20,8,16,raw materials/ingredients,France,Baled hay
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00832,kg CO2 eq,21,7,15,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00771,kg CO2 eq,22,8,21,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00729,kg CO2 eq,23,9,22,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00647,kg CO2 eq,24,10,23,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00599,kg CO2 eq,25,11,24,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00478,kg CO2 eq,26,12,25,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00369,kg CO2 eq,27,13,26,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.00683,kg CO2 eq,28,7,15,raw materials/ingredients,France,Silage maize
"Suckler cull cow, conventional, suckler cow system, more than 1.2 LU per ha, at",0.29077,kg CO2 eq,29,6,5,raw materials/ingredients,France,Suckler cull cow
"Calf of 0 day, conventional, suckler cow system, more than 1.2 LU per ha (animal",0.13873,kg CO2 eq,30,7,29,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.01633,kg CO2 eq,31,8,30,raw materials/ingredients,France,Grazed grass
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00488,kg CO2 eq,32,8,30,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00337,kg CO2 eq,33,8,30,raw materials/ingredients,Switzerland,heat production
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00251,kg CO2 eq,34,8,30,raw materials/ingredients,France,Baled hay
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.00971,kg CO2 eq,35,7,29,raw materials/ingredients,France,Grazed grass
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00502,kg CO2 eq,36,7,29,raw materials/ingredients,Switzerland,heat production
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00481,kg CO2 eq,37,7,29,raw materials/ingredients,France,Baled hay
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00293,kg CO2 eq,38,7,29,raw materials/ingredients,France,Grazed grass
"Bovine feed,BV40, at farm gate/kg",0.00281,kg CO2 eq,39,7,29,raw materials/ingredients,France,Bovine feed
"Young suckler bull, conventional, fattening system, more than 1.2 LU per ha, at",0.28966,kg CO2 eq,40,6,5,raw materials/ingredients,France,Young suckler bull
"Conventional suckler cow system, more than 1.2 LU per ha, animal class 1, at far",0.18969,kg CO2 eq,41,7,40,raw materials/ingredients,France,Conventional suckler cow system
"Calf of 0 day, conventional, suckler cow system, more than 1.2 LU per ha (animal",0.17212,kg CO2 eq,42,8,41,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.02026,kg CO2 eq,43,9,42,raw materials/ingredients,France,Grazed grass
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00606,kg CO2 eq,44,9,42,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00418,kg CO2 eq,45,9,42,raw materials/ingredients,Switzerland,heat production
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00311,kg CO2 eq,46,9,42,raw materials/ingredients,France,Baled hay
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.01149,kg CO2 eq,47,7,40,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.01065,kg CO2 eq,48,8,47,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.01008,kg CO2 eq,49,9,48,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00894,kg CO2 eq,50,10,49,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00828,kg CO2 eq,51,11,50,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00661,kg CO2 eq,52,12,51,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0051,kg CO2 eq,53,13,52,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.0085,kg CO2 eq,54,7,40,raw materials/ingredients,France,Silage maize
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00249,kg CO2 eq,55,7,40,raw materials/ingredients,Switzerland,heat production
"Suckler heifer, conventional, fattening system, more than 1.2 LU per ha, at farm",0.28655,kg CO2 eq,56,6,5,raw materials/ingredients,France,Suckler heifer
"Conventional suckler cow system, more than 1.2 LU per ha, animal class 1, at far",0.15197,kg CO2 eq,57,7,56,raw materials/ingredients,France,Conventional suckler cow system
"Calf of 0 day, conventional, suckler cow system, more than 1.2 LU per ha (animal",0.13789,kg CO2 eq,58,8,57,raw materials/ingredients,France,Calf of 0 day
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.01623,kg CO2 eq,59,9,58,raw materials/ingredients,France,Grazed grass
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00486,kg CO2 eq,60,9,58,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00335,kg CO2 eq,61,9,58,raw materials/ingredients,Switzerland,heat production
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00249,kg CO2 eq,62,9,58,raw materials/ingredients,France,Baled hay
"Grazed grass, permanent meadow, without clover, Northwestern region, on field",0.00989,kg CO2 eq,63,7,56,raw materials/ingredients,France,Grazed grass
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.00434,kg CO2 eq,64,7,56,raw materials/ingredients,France,Baled hay
