Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Four Cheeses (300g),0.88687,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Four Cheeses
"Cheese, buche, from goat's milk, at plant",0.3434,kg CO2 eq,1,1,0,raw materials/ingredients,France,Cheese
"Soft cheese, from goat's milk, consumption mix",0.3434,kg CO2 eq,2,2,1,raw materials/ingredients,France,Soft cheese
"Goat Cheese production; from raw milk, soft cheese ; French production mix, at plant; 1 kg of soft cheese",0.34188,kg CO2 eq,3,3,2,raw materials/ingredients,France,Goat Cheese production; from raw milk
"Goat milk, conventional, intensive forage area, at farm gate",0.32667,kg CO2 eq,4,4,3,raw materials/ingredients,France,Goat milk
"Dehydrated Lucerne, conventional, at feed plant/kg",0.04363,kg CO2 eq,5,5,4,raw materials/ingredients,France,Dehydrated Lucerne
"Dehydratation of alfalfa, processing",0.03631,kg CO2 eq,6,6,5,raw materials/ingredients,France,Dehydratation of alfalfa
"heat production, at hard coal industrial furnace 1-10MW",0.02607,kg CO2 eq,7,7,6,raw materials/ingredients,Europe without Switzerland,heat production
"heat production, lignite briquette, at stove 5-15kW",0.00779,kg CO2 eq,8,7,6,raw materials/ingredients,Rest-of-World,heat production
"Alfalfa, conventional, for deshydration, animal feed, at farm gate, production|F",0.00732,kg CO2 eq,9,6,5,raw materials/ingredients,France,Alfalfa
"Harvesting silage grass, with hay chopper and blower/hr",0.00113,kg CO2 eq,10,7,9,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.0009,kg CO2 eq,11,8,10,raw materials/ingredients,France,Diesel combustion
"Baled hay, permanent meadow, with clover, Northwestern region, at farm",0.02493,kg CO2 eq,12,5,4,raw materials/ingredients,France,Baled hay
"Baling, with round baler (straw)/ha",0.00169,kg CO2 eq,13,6,12,raw materials/ingredients,France,Baling
"Diesel combustion, in tractor/kg",0.0012,kg CO2 eq,14,7,13,raw materials/ingredients,France,Diesel combustion
"Fertilizing, slurry, with tanker | Fertilizing, slurry, with tanker",0.00095,kg CO2 eq,15,6,12,raw materials/ingredients,France,Fertilizing
