Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Margherita,0.37927,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Margherita
"Mozzarella cheese, from cow's milk, at plant",0.26927,kg CO2 eq,1,1,0,raw materials/ingredients,France,Mozzarella cheese
"Soft cheese, from cow's milk, consumption mix",0.26927,kg CO2 eq,2,2,1,raw materials/ingredients,France,Soft cheese
"Cheese production; from raw milk, soft cheese ; French production mix, at plant; 1 kg of soft cheese (PGi)",0.26779,kg CO2 eq,3,3,2,raw materials/ingredients,France,Cheese production; from raw milk
"Cow milk, national average, at farm gate/kg",0.25301,kg CO2 eq,4,4,3,raw materials/ingredients,France,Cow milk
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm",0.13801,kg CO2 eq,5,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.01719,kg CO2 eq,6,6,5,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.01593,kg CO2 eq,7,7,6,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.01508,kg CO2 eq,8,8,7,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.01337,kg CO2 eq,9,9,8,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.01238,kg CO2 eq,10,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00989,kg CO2 eq,11,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00763,kg CO2 eq,12,12,11,raw materials/ingredients,Brazil,clear-cutting
"Diesel combustion, in tractor/kg",0.00049,kg CO2 eq,13,12,11,raw materials/ingredients,France,Diesel combustion
"Soybean grain, tillage, Centerwest",0.00249,kg CO2 eq,14,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00191,kg CO2 eq,15,12,14,raw materials/ingredients,Brazil,clear-cutting
"Soybean, South average, animal feed, at farm gate",0.00099,kg CO2 eq,16,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain,South, Chem. fertilzation average, animal feed, at farm gate",0.00093,kg CO2 eq,17,11,16,raw materials/ingredients,Brazil,Soybean grain
"Soybean grain, no tillage, chemical fertilization, South",0.00073,kg CO2 eq,18,12,17,raw materials/ingredients,Brazil,Soybean grain
"transport, freight, lorry, unspecified",0.00109,kg CO2 eq,19,9,8,raw materials/ingredients,Global,transport
"Soybean meal, final process, processing",0.00086,kg CO2 eq,20,8,7,raw materials/ingredients,Brazil,Soybean meal
"heat production, natural gas, at industrial furnace >100kW",0.00056,kg CO2 eq,21,9,20,raw materials/ingredients,Rest-of-World,heat production
"transport, freight, sea, transoceanic ship",0.00125,kg CO2 eq,22,7,6,raw materials/ingredients,Global,transport
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.00998,kg CO2 eq,23,6,5,raw materials/ingredients,France,Silage maize
"Harvesting silage grass, with hay chopper and blower/hr",0.00072,kg CO2 eq,24,7,23,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.00057,kg CO2 eq,25,8,24,raw materials/ingredients,France,Diesel combustion
"Ploughing, with 5 or 6 soc plough/hr",0.00039,kg CO2 eq,26,7,23,raw materials/ingredients,France,Ploughing
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00373,kg CO2 eq,27,6,5,raw materials/ingredients,France,Grazed grass
Soft wheat grain stored and transported,0.00323,kg CO2 eq,28,6,5,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00314,kg CO2 eq,29,7,28,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00038,kg CO2 eq,30,8,29,raw materials/ingredients,France,Average mineral fertilizer
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00215,kg CO2 eq,31,6,5,raw materials/ingredients,France,Grass silage
"Harvesting silage grass, with hay chopper and blower/hr",0.00039,kg CO2 eq,32,7,31,raw materials/ingredients,France,Harvesting silage grass
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00145,kg CO2 eq,33,6,5,raw materials/ingredients,Switzerland,heat production
"Bovine feed,MAT18, at farm gate | Bovine feed, MAT18, at farm gate",0.00065,kg CO2 eq,34,6,5,raw materials/ingredients,France,Bovine feed
"Bovine feed,CMV 5-25-5, at farm gate/kg",0.00053,kg CO2 eq,35,6,5,raw materials/ingredients,France,Bovine feed
"Baled hay, temporary meadow, with clover, Northwestern region, at farm",0.0004,kg CO2 eq,36,6,5,raw materials/ingredients,France,Baled hay
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.04371,kg CO2 eq,37,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00487,kg CO2 eq,38,6,37,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.00451,kg CO2 eq,39,7,38,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00427,kg CO2 eq,40,8,39,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00379,kg CO2 eq,41,9,40,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00351,kg CO2 eq,42,10,41,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.0028,kg CO2 eq,43,11,42,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00216,kg CO2 eq,44,12,43,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00071,kg CO2 eq,45,11,42,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00054,kg CO2 eq,46,12,45,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.00284,kg CO2 eq,47,6,37,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0021,kg CO2 eq,48,6,37,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0009,kg CO2 eq,49,6,37,raw materials/ingredients,France,Soft wheat grain
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00051,kg CO2 eq,50,6,37,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00043,kg CO2 eq,51,6,37,raw materials/ingredients,Switzerland,heat production
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.04151,kg CO2 eq,52,5,4,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, permanent meadow, without clover, Auvergne, at fa",0.00303,kg CO2 eq,53,6,52,raw materials/ingredients,France,Grass silage
"Harvesting silage grass, with hay chopper and blower/hr",0.00049,kg CO2 eq,54,7,53,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.00039,kg CO2 eq,55,8,54,raw materials/ingredients,France,Diesel combustion
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.00146,kg CO2 eq,56,6,52,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00116,kg CO2 eq,57,6,52,raw materials/ingredients,France,Soft wheat grain
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00113,kg CO2 eq,58,6,52,raw materials/ingredients,France,Baled hay
