Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Quattro Stagioni (300g),0.67819,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Quattro Stagioni
"Mozzarella cheese, from cow's milk, at plant",0.35454,kg CO2 eq,1,1,0,raw materials/ingredients,France,Mozzarella cheese
"Soft cheese, from cow's milk, consumption mix",0.35454,kg CO2 eq,2,2,1,raw materials/ingredients,France,Soft cheese
"Cheese production; from raw milk, soft cheese ; French production mix, at plant; 1 kg of soft cheese (PGi)",0.35259,kg CO2 eq,3,3,2,raw materials/ingredients,France,Cheese production; from raw milk
"Cow milk, national average, at farm gate/kg",0.33313,kg CO2 eq,4,4,3,raw materials/ingredients,France,Cow milk
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm",0.18171,kg CO2 eq,5,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.02263,kg CO2 eq,6,6,5,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.02098,kg CO2 eq,7,7,6,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.01985,kg CO2 eq,8,8,7,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.01761,kg CO2 eq,9,9,8,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.0163,kg CO2 eq,10,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.01302,kg CO2 eq,11,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.01005,kg CO2 eq,12,12,11,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00328,kg CO2 eq,13,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00251,kg CO2 eq,14,12,13,raw materials/ingredients,Brazil,clear-cutting
"Soybean, South average, animal feed, at farm gate",0.00131,kg CO2 eq,15,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain,South, Chem. fertilzation average, animal feed, at farm gate",0.00123,kg CO2 eq,16,11,15,raw materials/ingredients,Brazil,Soybean grain
"Soybean grain, no tillage, chemical fertilization, South",0.00096,kg CO2 eq,17,12,16,raw materials/ingredients,Brazil,Soybean grain
"transport, freight, lorry, unspecified",0.00143,kg CO2 eq,18,9,8,raw materials/ingredients,Global,transport
"Soybean meal, final process, processing",0.00113,kg CO2 eq,19,8,7,raw materials/ingredients,Brazil,Soybean meal
