Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Salami (300g),0.52802,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Salami
"Dry sausages, case ready, at plant",0.26084,kg CO2 eq,1,1,0,raw materials/ingredients,France,Dry sausages
"Dry sausages; pork meat, Dry sausages, industrial production; French production, at plant; 1 kg of dry sausages product  (PDi)",0.26084,kg CO2 eq,2,2,1,raw materials/ingredients,France,Dry sausages; pork meat
"Lean pork, raw, at plant",0.22902,kg CO2 eq,3,3,2,raw materials/ingredients,France,Lean pork
"Pork chop case ready; Pigs, Pork shop, industrial production; French production mix, at plant; 1 kg of pork meat  (PDi)",0.22902,kg CO2 eq,4,4,3,raw materials/ingredients,France,Pork chop case ready; Pigs
"Live pork storage, at plant",0.21883,kg CO2 eq,5,5,4,raw materials/ingredients,France,Live pork storage
"Pig, conventional, national average, at farm gate",0.21872,kg CO2 eq,6,6,5,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,conv prod, at farm gate/kg",0.04103,kg CO2 eq,7,7,6,raw materials/ingredients,France,Pig
"Pig,French average,finishing feed,purchased part,conv prod, at farm gate/kg",0.02917,kg CO2 eq,8,8,7,raw materials/ingredients,France,Pig
Soft wheat grain stored and transported,0.01114,kg CO2 eq,9,9,8,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.01081,kg CO2 eq,10,10,9,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00131,kg CO2 eq,11,11,10,raw materials/ingredients,France,Average mineral fertilizer
"Urea, as N, at plant (WFLDB 3.5)",0.00053,kg CO2 eq,12,12,11,raw materials/ingredients,Europe,Urea
"Urea (46% N), at plant (WFLDB 3.5)",0.00053,kg CO2 eq,13,13,12,raw materials/ingredients,Europe,Urea (46% N)
"Ammonia, steam reforming, at plant (WFLDB 3.5)",0.00065,kg CO2 eq,14,14,13,raw materials/ingredients,Europe,Ammonia
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00453,kg CO2 eq,15,9,8,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0042,kg CO2 eq,16,10,15,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00398,kg CO2 eq,17,11,16,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00353,kg CO2 eq,18,12,17,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00327,kg CO2 eq,19,13,18,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00261,kg CO2 eq,20,14,19,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00201,kg CO2 eq,21,15,20,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00066,kg CO2 eq,22,14,19,raw materials/ingredients,Brazil,Soybean grain
Feed barley grain stored and transported,0.00358,kg CO2 eq,23,9,8,raw materials/ingredients,France,Feed barley grain stored and transported
"Feed barley grain, conventional, national average",0.00347,kg CO2 eq,24,10,23,raw materials/ingredients,France,Feed barley grain
"Winter forage barley, conventional, animal feed, at farm gate",0.0022,kg CO2 eq,25,11,24,raw materials/ingredients,France,Winter forage barley
"Winter barley, conventional, malting quality, animal feed, at farm gate",0.00066,kg CO2 eq,26,11,24,raw materials/ingredients,France,Winter barley
"Spring barley, conventional, downgraded quality, animal feed, at farm gate",0.0006,kg CO2 eq,27,11,24,raw materials/ingredients,France,Spring barley
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00329,kg CO2 eq,28,9,8,raw materials/ingredients,France,Maize grain
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00275,kg CO2 eq,29,9,8,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00248,kg CO2 eq,30,10,29,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00244,kg CO2 eq,31,11,30,raw materials/ingredients,France,Rapeseed
"transport, freight, lorry >32 metric ton, EURO3",0.00103,kg CO2 eq,32,9,8,raw materials/ingredients,Europe,transport
"L-Lysine HCl, animal feed, at retailer gate",0.001,kg CO2 eq,33,9,8,raw materials/ingredients,France,L-Lysine HCl
"L-Lysine HCl, processing",0.001,kg CO2 eq,34,10,33,raw materials/ingredients,France,L-Lysine HCl
"Pig,French average,finishing feed,on-farm part,conv prod, at farm gate/kg",0.01187,kg CO2 eq,35,8,7,raw materials/ingredients,France,Pig
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00463,kg CO2 eq,36,9,35,raw materials/ingredients,France,Soft wheat grain
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00056,kg CO2 eq,37,10,36,raw materials/ingredients,France,Average mineral fertilizer
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00194,kg CO2 eq,38,9,35,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0018,kg CO2 eq,39,10,38,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.0017,kg CO2 eq,40,11,39,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00151,kg CO2 eq,41,12,40,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.0014,kg CO2 eq,42,13,41,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00112,kg CO2 eq,43,14,42,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00086,kg CO2 eq,44,15,43,raw materials/ingredients,Brazil,clear-cutting
"Feed barley grain, conventional, national average",0.00149,kg CO2 eq,45,9,35,raw materials/ingredients,France,Feed barley grain
"Winter forage barley, conventional, animal feed, at farm gate",0.00094,kg CO2 eq,46,10,45,raw materials/ingredients,France,Winter forage barley
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.00141,kg CO2 eq,47,9,35,raw materials/ingredients,France,Maize grain
