Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Pizza Tuna,0.63693,kg CO2 eq,0,0,,raw materials/ingredients,France,Pizza Tuna
"Mozzarella cheese, from cow's milk, at plant",0.38146,kg CO2 eq,1,1,0,raw materials/ingredients,France,Mozzarella cheese
"Soft cheese, from cow's milk, consumption mix",0.38146,kg CO2 eq,2,2,1,raw materials/ingredients,France,Soft cheese
"Cheese production; from raw milk, soft cheese ; French production mix, at plant; 1 kg of soft cheese (PGi)",0.37937,kg CO2 eq,3,3,2,raw materials/ingredients,France,Cheese production; from raw milk
"Cow milk, national average, at farm gate/kg",0.35844,kg CO2 eq,4,4,3,raw materials/ingredients,France,Cow milk
"Cow milk, conventional, lowland milk system, silage maize more than 30%, at farm",0.19551,kg CO2 eq,5,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.02435,kg CO2 eq,6,6,5,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.02257,kg CO2 eq,7,7,6,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.02136,kg CO2 eq,8,8,7,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.01895,kg CO2 eq,9,9,8,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.01754,kg CO2 eq,10,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.01401,kg CO2 eq,11,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.01082,kg CO2 eq,12,12,11,raw materials/ingredients,Brazil,clear-cutting
"Diesel combustion, in tractor/kg",0.00069,kg CO2 eq,13,12,11,raw materials/ingredients,France,Diesel combustion
"Soybean grain, tillage, Centerwest",0.00353,kg CO2 eq,14,11,10,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.0027,kg CO2 eq,15,12,14,raw materials/ingredients,Brazil,clear-cutting
"Soybean, South average, animal feed, at farm gate",0.0014,kg CO2 eq,16,10,9,raw materials/ingredients,Brazil,Soybean
"Soybean grain,South, Chem. fertilzation average, animal feed, at farm gate",0.00132,kg CO2 eq,17,11,16,raw materials/ingredients,Brazil,Soybean grain
"Soybean grain, no tillage, chemical fertilization, South",0.00103,kg CO2 eq,18,12,17,raw materials/ingredients,Brazil,Soybean grain
"transport, freight, lorry, unspecified",0.00154,kg CO2 eq,19,9,8,raw materials/ingredients,Global,transport
"Soybean meal, final process, processing",0.00121,kg CO2 eq,20,8,7,raw materials/ingredients,Brazil,Soybean meal
"heat production, natural gas, at industrial furnace >100kW",0.00079,kg CO2 eq,21,9,20,raw materials/ingredients,Rest-of-World,heat production
"transport, freight, sea, transoceanic ship",0.00178,kg CO2 eq,22,7,6,raw materials/ingredients,Global,transport
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.01413,kg CO2 eq,23,6,5,raw materials/ingredients,France,Silage maize
"Harvesting silage grass, with hay chopper and blower/hr",0.00102,kg CO2 eq,24,7,23,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.00081,kg CO2 eq,25,8,24,raw materials/ingredients,France,Diesel combustion
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00529,kg CO2 eq,26,6,5,raw materials/ingredients,France,Grazed grass
Soft wheat grain stored and transported,0.00458,kg CO2 eq,27,6,5,raw materials/ingredients,France,Soft wheat grain stored and transported
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00444,kg CO2 eq,28,7,27,raw materials/ingredients,France,Soft wheat grain
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00304,kg CO2 eq,29,6,5,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00206,kg CO2 eq,30,6,5,raw materials/ingredients,Switzerland,heat production
