Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
Table Apple,0.2842123556,kg CO2 eq,0,0,,root,-,Table Apple
Farm,0.1298022586,kg CO2 eq,1,1,0,farm,France,Farm
"Apple, conventional, national average, at orchard/kg",0.0983917831,kg CO2 eq,2,2,1,farm,France,Apple
"Apple, conventional, control, at orchard/kg",0.0893546207,kg CO2 eq,3,3,2,farm,France,Apple
"Apple, conventional, full production years (phase), at orchard/kg",0.0666528677,kg CO2 eq,4,4,3,farm,France,Apple
"Maintenance, with platform self-propelled (special crops)/hr",0.0293088421,kg CO2 eq,5,5,4,farm,France,Maintenance
"Diesel combustion, in tractor/kg",0.0186332967,kg CO2 eq,6,6,5,farm,France,Diesel combustion
"Harvester/Machine with engine, LT >10'000h, production/kg",0.0072329489,kg CO2 eq,7,6,5,farm,France,Harvester/Machine with engine
"heat production, light fuel oil, at industrial furnace 1MW",0.0020417335,kg CO2 eq,8,7,7,farm,Europe without Switzerland,heat production
synthetic rubber production,0.0017465533,kg CO2 eq,9,7,7,farm,Europe,synthetic rubber production
"steel production, converter, unalloyed",0.0012771317,kg CO2 eq,10,7,7,farm,Europe,steel production
"aluminium, wrought alloy",0.000542672,kg CO2 eq,11,7,7,farm,Global,aluminium
diesel,0.0031406281,kg CO2 eq,12,6,5,farm,Europe without Switzerland,diesel
Shed,0.0003019684,kg CO2 eq,13,6,5,farm,France,Shed
"Plant protection, spraying, with atomiser/sprayer, 2000 l/hr",0.0133328313,kg CO2 eq,14,5,4,farm,France,Plant protection
"Diesel combustion, in tractor/kg",0.0102898043,kg CO2 eq,15,6,14,farm,France,Diesel combustion
diesel,0.0017343388,kg CO2 eq,16,6,14,farm,Europe without Switzerland,diesel
"Tractor, LT 10'000h, production/kg",0.0007695766,kg CO2 eq,17,6,14,farm,France,Tractor
"General machinery, without tires, LT 8000h, production/kg",0.0005213749,kg CO2 eq,18,6,14,farm,France,General machinery
"Average mineral fertilizer, as N, at regional storehouse/kg",0.002090803,kg CO2 eq,19,5,4,farm,France,Average mineral fertilizer
